state,incidentType,count
AK,Fire,10
AK,Flood,9
AK,Severe Storm,12
AL,Fire,1
AL,Hurricane,11
AL,Severe Storm,17
AL,Tornado,1
AR,Flood,1
AR,Hurricane,3
AR,Severe Storm,15
AR,Tornado,3
AS,Hurricane,1
AS,Severe Storm,3
AZ,Fire,19
AZ,Flood,4
AZ,Hurricane,1
AZ,Severe Storm,8
CA,Fire,21
CA,Flood,4
CA,Hurricane,2
CA,Severe Storm,6
CO,Fire,18
CO,Flood,3
CO,Severe Storm,2
CT,Hurricane,6
CT,Severe Storm,7
CT,Tornado,1
DC,Hurricane,4
DC,Severe Storm,4
DE,Hurricane,6
DE,Severe Storm,2
FL,Fire,9
FL,Flood,1
FL,Hurricane,14
FL,Severe Storm,9
FM,Drought,1
GA,Fire,4
GA,Hurricane,6
GA,Severe Storm,8
GA,Tornado,1
GU,Hurricane,1
GU,Severe Storm,2
HI,Fire,11
HI,Flood,3
HI,Hurricane,2
HI,Severe Storm,8
IA,Flood,8
IA,Hurricane,1
IA,Severe Storm,14
ID,Fire,9
ID,Flood,6
ID,Hurricane,1
ID,Severe Storm,4
IL,Flood,4
IL,Hurricane,1
IL,Severe Storm,9
IL,Tornado,3
IN,Flood,1
IN,Hurricane,1
IN,Severe Storm,11
IN,Tornado,1
KS,Fire,6
KS,Flood,1
KS,Hurricane,1
KS,Severe Storm,17
KY,Fire,3
KY,Flood,5
KY,Hurricane,1
KY,Severe Storm,18
KY,Tornado,1
LA,Fire,1
LA,Flood,5
LA,Hurricane,11
LA,Severe Storm,6
LA,Tornado,1
MA,Flood,1
MA,Hurricane,6
MA,Severe Storm,9
MA,Tornado,1
MD,Flood,3
MD,Hurricane,5
MD,Severe Storm,5
MD,Tornado,1
ME,Flood,3
ME,Hurricane,3
ME,Severe Storm,12
MI,Flood,4
MI,Hurricane,1
MI,Severe Storm,5
MN,Fire,2
MN,Flood,10
MN,Hurricane,1
MN,Severe Storm,10
MN,Tornado,1
MO,Flood,5
MO,Hurricane,1
MO,Severe Storm,16
MS,Flood,2
MS,Hurricane,9
MS,Severe Storm,14
MS,Tornado,2
MT,Fire,13
MT,Flood,6
MT,Hurricane,1
MT,Severe Storm,7
MT,Tornado,1
NC,Fire,3
NC,Flood,2
NC,Hurricane,12
NC,Severe Storm,6
ND,Fire,1
ND,Flood,9
ND,Severe Storm,13
ND,Tornado,1
NE,Fire,5
NE,Flood,3
NE,Hurricane,1
NE,Severe Storm,17
NE,Tornado,1
NH,Fire,1
NH,Flood,3
NH,Hurricane,3
NH,Severe Storm,14
NJ,Fire,3
NJ,Hurricane,4
NJ,Severe Storm,11
NM,Fire,19
NM,Flood,4
NM,Hurricane,1
NM,Severe Storm,8
NV,Fire,19
NV,Flood,2
NV,Hurricane,1
NV,Severe Storm,4
NY,Fire,1
NY,Flood,4
NY,Hurricane,5
NY,Severe Storm,12
NY,Tornado,1
OH,Flood,2
OH,Hurricane,2
OH,Severe Storm,9
OH,Tornado,2
OK,Fire,13
OK,Flood,3
OK,Hurricane,1
OK,Severe Storm,18
OK,Tornado,3
OR,Fire,20
OR,Flood,3
OR,Severe Storm,12
PA,Flood,2
PA,Hurricane,5
PA,Severe Storm,9
PR,Fire,1
PR,Flood,2
PR,Hurricane,5
PR,Severe Storm,8
RI,Fire,1
RI,Hurricane,4
RI,Severe Storm,4
SC,Fire,3
SC,Flood,1
SC,Hurricane,7
SC,Severe Storm,3
SD,Fire,10
SD,Flood,6
SD,Severe Storm,15
TN,Fire,3
TN,Flood,3
TN,Hurricane,1
TN,Severe Storm,15
TN,Tornado,3
TX,Fire,12
TX,Flood,5
TX,Hurricane,8
TX,Severe Storm,7
UT,Fire,17
UT,Flood,4
UT,Severe Storm,3
VA,Fire,4
VA,Flood,1
VA,Hurricane,7
VA,Severe Storm,9
VI,Hurricane,6
VI,Severe Storm,2
VT,Flood,5
VT,Hurricane,2
VT,Severe Storm,13
WA,Fire,22
WA,Flood,6
WA,Severe Storm,11
WI,Flood,5
WI,Hurricane,1
WI,Severe Storm,10
WI,Tornado,1
WV,Fire,1
WV,Flood,7
WV,Hurricane,3
WV,Severe Storm,14
WY,Fire,9
WY,Flood,4
WY,Severe Storm,3
WY,Tornado,1
