state,avg_risk_score
FL,0.5129436973961973
TX,0.49795577438437094
CA,0.46915299201707644
AK,0.4596953321112609
OK,0.41729732689047017
AL,0.4141530210758637
AZ,0.4100578033773115
LA,0.40489900333710144
MS,0.3965558454934725
GA,0.381450387604939
NC,0.36777510132863056
TN,0.3626058014889803
NM,0.3537150232168538
KY,0.35170582467286593
AR,0.3489084774871539
WA,0.34411564902554154
SC,0.3412639785105389
VA,0.3329415695142943
KS,0.33160630259716006
OR,0.3270557996308866
NY,0.3248180482398663
MO,0.3247290249886654
NJ,0.32409659846582123
NV,0.31266046562192995
WV,0.3065870831657835
MD,0.3031372011458489
IL,0.30250385588858913
MA,0.30071787703115854
NE,0.29745307499341644
CT,0.2929998644442856
SD,0.2919852932048706
OH,0.29085754376483697
PA,0.2851787712407869
UT,0.2802479579953524
NH,0.2775406551510499
IA,0.27725492973306326
IN,0.276579873161232
CO,0.272097803685744
DE,0.26852562928256135
RI,0.2643267282198364
MT,0.2583650286297969
VT,0.25823944001327753
HI,0.25240182644350834
MN,0.2508146183590922
ME,0.23886106221493283
WI,0.23846902734610345
ND,0.22820587957981808
MI,0.2268924003543246
ID,0.2264841517069169
WY,0.20129161180738442
